judul_film,tahun_rilis,sutradara
De Stem Des Bloed,1930,Ph Carli
Lari Ka Arab,1930,Wong Bersaudara
Ria Rago: Pahlawan Wanita dari Lembah Ndona,1930,Simon Buis
Boenga Roos Dari Tjikembang,1931,The Tang Chun
Indonesia Malaise,1931,Wong Bersaudara
Sam Pek Eng Tay,1931,The Tang Chun
Si Pitoeng,1931,Wong Bersaudara
Sinjo 'Tjo' Main Di Film,1931,M.H. Schilling
Njai Dasima,1932,Bachtiar Effendy
Raonah,1932,G. Krugers
Terpaksa Menika,1932,G. Krugers
Amorira,1932,Simon Buis
Delapan Djago Pedang,1933,The Tang Chun
Pat Bie To,1933,The Tang Chun
Ouw Peh Tjoa,1934,The Tang Chun
Ang Hai Djie,1935,NA
Pan Sie Tong,1935,The Tang Chun
Poei sie giok pa loei tay,1935,NA
Tie Pat Kai Kawin,1935,NA
Pareh,1936,Albert Balink
Anaknja Siloeman Oeler Poeti,1936,NA
Lima Siloeman Tikoes,1936,NA
Pembakaran Bio 'Hong Lian Sie',1936,NA
Terang boelan,1937,Albert Balink
Gadis jang Terdjoeal,1937,NA
Fatima,1938,Joshua Wong
Oh Iboe,1938,The Tang Chun
Tjiandjoer,1938,The Tang Chun
Alang-Alang,1939,The Tang Chun
Gagak Item,1939,Joshua Wong
Impian di Bali,1939,NA
Roesia si Pengkor,1939,The Tang Chun
Siti Akbari,1939,Joshua Wong
Kedok ketawa,1940,Jo An Djan
Bajar Dengan Djiwa,1940,Hu. R.
Dasima,1940,Tan Tjoei Hock
Harta Berdarah,1940,Rd. Ariffien
Kartinah,1940,Andjar Asmara
Kris Mataram,1940,Njoo Cheong Seng
Matjan Berbisik,1940,Tan Tjoei Hock
Melati Van Agam,1940,Tan Tjoei Hock
Pah Wongso Pendekar Boediman,1940,Jr. L.V. Wijnhamer
Roekihati,1940,Joshua Wong
Rentjong Atjeh,1940,The Tang Chun
Sorga Ka Toedjoe,1940,Joshua Wong
Sorga Palsoe,1940,Tan Tjoei Hock
Zoebaida,1940,Njoo Cheong Seng
Boedjoekan iblis,1941,Jo An Djan
Garoeda mas,1941,Jo An Djan
Moestika dari djenar,1941,Jo An Djan
Asmara Moerni,1941,Rd. Ariffien
Harta karun,1949,Usmar Ismail
Tjitra,1949,Usmar Ismail
Darah dan Doa,1950,Usmar Ismail
Meratap hati,1950,Rd. Ariffien
Djembatan merah,1950,Fred Young
Budi satria,1950,Wildan Djafar
Irawaty,1950,Wildan Djafar
Enam Djam di Djogja,1951,Usmar Ismail
Akibat,1951,Nawi Ismail
Embun,1951,D. Djajakusuma
Main-main djadi sungguhan,1951,L. Inata
Merebut kasih,1951,A. Canon
Pembalasan,1951,A. Canon
Dosa tak berampun,1951,Usmar Ismail
Njiur melambai,1951,Bambang Sudarto
Air mata pengantin,1952,S. Waldy
Terimaiah laguku,1952,D. Djajakusuma
Pahit-pahit manis,1952,L. Inata
Terkabul,1952,L. Inata
Ternoda,1952,Jo An Djan
Surja,1952,Hu
Pengorbanan,1952,Hu
Satria desa,1952,Hu
Tiga benda adjaib,1952,Hu
Pulang,1952,Basuki Effendi
Rodrigo de Villa,II (1952),Rempo Urip
Kumala dewa dewi,1952,Bambang Sudarto
Dewa dewi,1952,Bambang Sudarto
Tenang menanti,1952,Wildan Djafar
Chandra dewi,1952,Wildan Djafar
Si Pitjang,1952,Kotot Sukardi
Putri solo,1953,Fred Young
The Tiger from Tjampa,1953,D. Djajakusuma
Dendang sajang,1953,S. Waldy
Musafir kelana,1953,S. Waldy
Pandji semiran,1953,S. Waldy
Asmara murni,1953,L. Inata
Lagu kenangan,1953,L. Inata
Kenari,1953,L. Inata
Harimau dan merpati,1953,Hu
Ratna kumala,1953,Hu
Ajah kikir,1953,Hu
Aladin,1953,Hu
Burung bitjara,1953,Hu
Empat sekawan,1953,Hu
Pangeran hamid,1953,Hu
Tiga saudari,1953,Hu
Leilani (Tabu),1953,Rempo Urip
Kafedo,1953,Usmar Ismail
