judul_film,genre,tahun_rilis,sutradara
De Stem Des Bloed,"
Drama            ",1930,Ph Carli
Lari Ka Arab,NA,1930,Wong Bersaudara
Ria Rago: Pahlawan Wanita dari Lembah Ndona,"
Drama            ",1930,Simon Buis
Boenga Roos Dari Tjikembang,"
Drama            ",1931,The Tang Chun
Indonesia Malaise,"
Comedy            ",1931,Wong Bersaudara
Sam Pek Eng Tay,"
Drama            ",1931,The Tang Chun
Si Pitoeng,"
Action            ",1931,Wong Bersaudara
Sinjo 'Tjo' Main Di Film,NA,1931,M.H. Schilling
Njai Dasima,"
Drama            ",1932,Bachtiar Effendy
Raonah,NA,1932,G. Krugers
Terpaksa Menika,"
Musical            ",1932,G. Krugers
Amorira,"
Drama            ",1932,Simon Buis
Delapan Djago Pedang,NA,1933,The Tang Chun
Pat Bie To,NA,1933,The Tang Chun
Ouw Peh Tjoa,"
Fantasy            ",1934,The Tang Chun
Ang Hai Djie,NA,1935,NA
Pan Sie Tong,NA,1935,The Tang Chun
Poei sie giok pa loei tay,"
Action            ",1935,NA
Tie Pat Kai Kawin,"
Fantasy            ",1935,NA
Pareh,"
Romance            ",1936,Albert Balink
Anaknja Siloeman Oeler Poeti,"
Fantasy            ",1936,NA
Lima Siloeman Tikoes,"
Fantasy            ",1936,NA
Pembakaran Bio 'Hong Lian Sie',"
Action            ",1936,NA
Terang boelan,"
Drama            ",1937,Albert Balink
Gadis jang Terdjoeal,"
Drama            ",1937,NA
Fatima,"
Drama            ",1938,Joshua Wong
Oh Iboe,"
Drama            ",1938,The Tang Chun
Tjiandjoer,"
Drama            ",1938,The Tang Chun
Alang-Alang,"
Drama            ",1939,The Tang Chun
Gagak Item,NA,1939,Joshua Wong
Impian di Bali,"
Drama            ",1939,NA
Roesia si Pengkor,"
Drama            ",1939,The Tang Chun
Siti Akbari,"
Drama            ",1939,Joshua Wong
Kedok ketawa,"
Drama            ",1940,Jo An Djan
Bajar Dengan Djiwa,"
Drama            ",1940,Hu. R.
Dasima,"
Drama            ",1940,Tan Tjoei Hock
Harta Berdarah,"
Drama            ",1940,Rd. Ariffien
Kartinah,"
Drama            ",1940,Andjar Asmara
Kris Mataram,"
Drama            ",1940,Njoo Cheong Seng
Matjan Berbisik,"
Drama            ",1940,Tan Tjoei Hock
Melati Van Agam,"
Drama            ",1940,Tan Tjoei Hock
Pah Wongso Pendekar Boediman,"
Drama            ",1940,Jr. L.V. Wijnhamer
Roekihati,"
Drama            ",1940,Joshua Wong
Rentjong Atjeh,"
Action            ",1940,The Tang Chun
Sorga Ka Toedjoe,"
Drama            ",1940,Joshua Wong
Sorga Palsoe,"
Drama            ",1940,Tan Tjoei Hock
Zoebaida,"
Drama            ",1940,Njoo Cheong Seng
Boedjoekan iblis,NA,1941,Jo An Djan
Garoeda mas,NA,1941,Jo An Djan
Moestika dari djenar,NA,1941,Jo An Djan
Asmara Moerni,"
Romance            ",1941,Rd. Ariffien
Harta karun,"
Comedy            ",1949,Usmar Ismail
Tjitra,"
Drama            ",1949,Usmar Ismail
Darah dan Doa,"
Drama            ",1950,Usmar Ismail
Meratap hati,NA,1950,Rd. Ariffien
Djembatan merah,"
Drama            ",1950,Fred Young
Budi satria,"
Drama            ",1950,Wildan Djafar
Irawaty,"
Drama            ",1950,Wildan Djafar
Enam Djam di Djogja,"
Drama            ",1951,Usmar Ismail
Akibat,NA,1951,Nawi Ismail
Embun,NA,1951,D. Djajakusuma
Main-main djadi sungguhan,NA,1951,L. Inata
Merebut kasih,NA,1951,A. Canon
Pembalasan,NA,1951,A. Canon
Dosa tak berampun,"
Drama            ",1951,Usmar Ismail
Njiur melambai,"
Drama            ",1951,Bambang Sudarto
Air mata pengantin,NA,1952,S. Waldy
Terimaiah laguku,NA,1952,D. Djajakusuma
Pahit-pahit manis,NA,1952,L. Inata
Terkabul,NA,1952,L. Inata
Ternoda,NA,1952,Jo An Djan
Surja,NA,1952,Hu
Pengorbanan,NA,1952,Hu
Satria desa,NA,1952,Hu
Tiga benda adjaib,NA,1952,Hu
Pulang,NA,1952,Basuki Effendi
Rodrigo de Villa,"
Drama            ",1952,Rempo Urip
Kumala dewa dewi,"
Drama            ",1952,Bambang Sudarto
Dewa dewi,"
Action, Fantasy            ",1952,Bambang Sudarto
Tenang menanti,"
Drama            ",1952,Wildan Djafar
Chandra dewi,"
Drama            ",1952,Wildan Djafar
Si Pitjang,"
Drama, War            ",1952,Kotot Sukardi
Putri solo,NA,1953,Fred Young
The Tiger from Tjampa,"
Drama            ",1953,D. Djajakusuma
Dendang sajang,NA,1953,S. Waldy
Musafir kelana,NA,1953,S. Waldy
Pandji semiran,NA,1953,S. Waldy
Asmara murni,NA,1953,L. Inata
Lagu kenangan,NA,1953,L. Inata
Kenari,NA,1953,L. Inata
Harimau dan merpati,NA,1953,Hu
Ratna kumala,NA,1953,Hu
Ajah kikir,NA,1953,Hu
Aladin,NA,1953,Hu
Burung bitjara,NA,1953,Hu
Empat sekawan,NA,1953,Hu
Pangeran hamid,NA,1953,Hu
Tiga saudari,NA,1953,Hu
Leilani (Tabu),"
Drama            ",1953,Rempo Urip
Kafedo,"
Drama            ",1953,Usmar Ismail
Krisis,"
Drama            ",1953,Usmar Ismail
Rosita,"
Drama            ",1953,Bambang Sudarto
Nachoda harimau lapar,"
Drama            ",1953,Bambang Sudarto
After the Curfew,"
Drama            ",1954,Usmar Ismail
Pegawai tinggi,NA,1954,Rempo Urip
Supir istimewa,NA,1954,Rempo Urip
Mertua sinting,NA,1954,D. Djajakusuma
Putri dari medan,NA,1954,D. Djajakusuma
Kali brantas,NA,1954,S. Waldy
Malu-malu kutjing,NA,1954,S. Waldy
Djula djuli bintang tiga,NA,1954,S. Waldy
Perantaian 13,NA,1954,S. Waldy
Senen raja,NA,1954,S. Waldy
Gara-gara djanda muda,NA,1954,L. Inata
Kasih sajang,NA,1954,L. Inata
Kopral djono,NA,1954,Basuki Effendi
Sri Asih,NA,1954,Tan Sing Hwat
Adios,"
Drama            ",1954,Bambang Sudarto
Tarmina,"
Drama            ",1954,Liliek Sudjio
